,0,1,2,3
0,10159.930926286213,0.015866550539302995,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.068,1.014,1.028,0.978,1.020"
1,10233.432285608103,0.007208391948340538,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.046,1.002,0.998,1.000,0.997"
2,10234.992482246349,0.00015244911701431602,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.987,1.000,0.990,1.001,1.024"
3,10234.98993475392,-2.489003047006062e-07,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
4,10234.990956120622,9.979166150658318e-08,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
5,10292.977778818684,0.005649558188598376,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.020,1.011,1.000,1.004"
6,10288.16473244805,-0.00046771421515987835,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.987,1.000,1.006,1.000,1.004"
7,10426.062670947817,0.013314517889460744,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.043,1.023,1.017,1.000,0.997"
8,10542.041104747086,0.0110624802137063,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.008,1.011,0.990,1.009,1.048"
9,10659.248611665811,0.011056751976202987,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.990,1.024,0.996,1.050,1.007"
10,10659.004996232707,-2.2855102260855966e-05,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
11,10659.006059912579,9.979166150658318e-08,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
12,10899.037559853112,0.02226931384321292,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.008,1.056,1.023,1.036,1.012"
13,10685.281289438712,-0.01980727401319617,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.969,0.969,0.974,0.980,0.990"
14,10657.377362284906,-0.002614851646034891,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,0.991,0.998,0.980,1.016"
15,10478.792640965761,-0.016898896174795886,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.991,0.970,0.992,0.954,0.993"
16,10430.69395709178,-0.004600664725736998,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.987,1.004,0.988,1.011,0.982"
17,10430.595572969854,-9.432218634847789e-06,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
18,10430.596613856369,9.979166150658318e-08,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
19,10114.267938372519,-0.03079637495147106,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.930,0.949,0.948,1.015,0.976"
20,10169.782464170132,0.005473725740653061,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.025,1.002,1.018,0.988"
21,10111.771721033692,-0.005720557784249938,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.974,0.991,0.984,1.002,1.015"
22,10351.620106336302,0.02344277738101242,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.055,1.017,1.030,1.032,1.009"
23,10409.301454708906,0.005556737606607435,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.995,1.017,1.015,0.980,1.026"
24,10409.181290464454,-1.1543996354026916e-05,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
25,10409.182329214002,9.979166150658318e-08,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
26,10674.742496361549,0.025192103826442217,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.027,1.015,1.039,1.041,1.031"
27,10666.85790124088,-0.0007388944908066843,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.980,1.013,0.999,0.990,1.014"
28,10762.761503582977,0.008950624908026051,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.018,1.005,1.026,0.995,1.009"
29,10711.61662831968,-0.004763348363651109,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.984,0.986,0.990,1.009,1.002"
30,10810.460891009132,0.009185447601645516,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.009,0.998,1.047,0.995,1.006"
31,10810.25582742029,-1.896917586212176e-05,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
32,10810.256906193734,9.979166150658318e-08,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
33,10797.014156672587,-0.0012257680426859886,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.996,1.011,1.012,0.986,0.989"
34,10911.83016047788,0.010577907576269483,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.043,1.005,1.000,1.014,1.001"
35,11023.773729286253,0.010206652270561035,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.006,0.989,1.021,1.010,1.034"
36,11235.438142563202,0.01901871410164068,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.041,1.034,1.030,1.001,1.009"
37,11321.820734733972,0.0076589992524440575,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.998,1.005,1.004,1.017,1.023"
38,11321.640990557262,-1.587603334643251e-05,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
39,11321.642120362683,9.979166150658318e-08,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
40,11321.643250168217,9.979166150658318e-08,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
41,11484.572188152868,0.014288360148369622,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.031,1.010,1.013,1.014,1.018"
42,11559.307713425742,0.006486389238478735,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.994,1.038,0.998,1.011,0.998"
43,11672.624697225636,0.009755355728907983,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.036,0.997,1.009,1.004,1.013"
44,11480.402626971472,-0.01660486848576869,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.977,0.960,0.975,0.994,0.996"
45,11480.003813100635,-3.4739269264992384e-05,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
46,11480.004958709347,9.979166150658318e-08,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
47,11643.496894840424,0.014140994870370372,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.024,1.021,1.026,0.984,1.031"
